Number,Player,Pos,HT,WT,Age,Current Team,YOS,Pre-Draft Team,Draft Status,Nationality
22,Deandre Ayton,C,1-Jul,250,23,Phoenix Suns,3,Arizona,2018 Rnd 1 Pick 1,Bahamas
20,Udoka Azubuike,C,1-Jul,270,22,Utah Jazz,1,Kansas,2020 Rnd 1 Pick 27,Nigeria
35,Marvin Bagley III,PF,11-Jun,240,22,Sacramento Kings,3,Duke,2018 Rnd 1 Pick 2,United States
2,LaMelo Ball,G,7-Jun,185,20,Charlotte Hornets,1,Illawarra (Australia),2020 Rnd 1 Pick 3,United States
2,Lonzo Ball,PG,6-Jun,190,24,Chicago Bulls,4,UCLA,2017 Rnd 1 Pick 2,United States
5,Mohamed Bamba,C,1-Jul,250,23,Orlando Magic,3,Texas,2018 Rnd 1 Pick 6,United States
22,Desmond Bane,SG,6-Jun,215,23,Memphis Grizzlies,1,Texas Christian,2020 Rnd 1 Pick 30,United States
45,Dalano Banton,PG,9-Jun,204,22,Toronto Raptors,0,Nebraska,2021 Rnd 2 Pick 16,Canada
40,Harrison Barnes,SF,8-Jun,225,29,Sacramento Kings,9,North Carolina,2012 Rnd 1 Pick 7,United States
4,Scottie Barnes,SF,9-Jun,227,20,Toronto Raptors,0,Florida State,2021 Rnd 1 Pick 4,United States
9,RJ Barrett,SG,7-Jun,202,21,New York Knicks,2,Duke,2019 Rnd 1 Pick 3,Canada
5,Will Barton,GF,5-Jun,181,30,Denver Nuggets,9,Memphis,2012 Rnd 2 Pick 10,United States
23,Charles Bassey,PF,10-Jun,235,21,Philadelphia Sixers,0,Western Kentucky,2021 Rnd 2 Pick 23,Nigeria
31,Keita Bates-Diop,SF,8-Jun,230,25,San Antonio Spurs,3,Ohio State,2018 Rnd 2 Pick 18,United States
33,Nicolas Batum,F,8-Jun,230,32,Los Angeles Clippers,13,Le Mans Sarthe Basket (France),2008 Rnd 1 Pick 25,France
9,Kent Bazemore,GF,4-Jun,195,32,Los Angeles Lakers,9,Old Dominion,"2012 NBA Draft, Undrafted",United States
