Number,Player,Pos,HT,WT,Age,Current Team,YOS,Pre-Draft Team,Draft Status,Nationality
9,Davon Reed,SF,5-Jun,208,26,Denver Nuggets,2,Miami (FL),2017 Rnd 2 Pick 2,United States
44,"Paul Reed, Jr.",F,9-Jun,220,22,Philadelphia Sixers,1,DePaul,2020 Rnd 2 Pick 28,United States
11,Naz Reid,C,9-Jun,250,22,Minnesota Timberwolves,2,LSU,"2019 NBA Draft, Undrafted",United States
14,Nick Richards,C,1-Jul,250,24,Charlotte Hornets,1,Kentucky,2020 Rnd 2 Pick 12,Jamaica
8,Josh Richardson,G,5-Jun,200,28,Boston Celtics,6,Tennessee,2015 Rnd 2 Pick 10,United States
5,Grant Riller,SG,1-Jun,195,25,Philadelphia Sixers,1,Charleston,2020 Rnd 2 Pick 26,United States
25,Austin Rivers,SG,4-Jun,200,29,Denver Nuggets,9,Duke,2012 Rnd 1 Pick 10,United States
55,Duncan Robinson,F,8-Jun,210,27,Miami Heat,3,Michigan,"2018 NBA Draft, Undrafted",United States
23,Mitchell Robinson,C,1-Jul,240,23,New York Knicks,3,,2018 Rnd 2 Pick 6,United States
50,Jeremiah Robinson-Earl,PF,9-Jun,230,21,Oklahoma City Thunder,0,Villanova,2021 Rnd 2 Pick 2,United States
22,Isaiah Roby,SF,8-Jun,230,23,Oklahoma City Thunder,2,Nebraska,2019 Rnd 2 Pick 15,United States
4,Rajon Rondo,PG,1-Jun,180,35,Los Angeles Lakers,15,Kentucky,2006 Rnd 1 Pick 21,United States
4,Derrick Rose,PG,3-Jun,200,33,New York Knicks,13,Memphis,2008 Rnd 1 Pick 1,United States
31,Terrence Ross,SF,7-Jun,206,30,Orlando Magic,9,Washington,2012 Rnd 1 Pick 8,United States
3,Terry Rozier,G,1-Jun,195,27,Charlotte Hornets,6,Louisville,2015 Rnd 1 Pick 16,United States
3,Ricky Rubio,G,3-Jun,190,31,Cleveland Cavaliers,10,Joventut Badalona (Spain),2009 Rnd 1 Pick 5,Spain
0,DAngelo Russell,SG,4-Jun,193,25,Minnesota Timberwolves,6,Ohio State,2015 Rnd 1 Pick 2,United States
11,Domantas Sabonis,PF,11-Jun,240,25,Indiana Pacers,5,Gonzaga,2016 Rnd 1 Pick 11,United States
19,Luka Samanic,PF,11-Jun,235,21,New York Knicks,2,Union Olimpija (Slovenia),2019 Rnd 1 Pick 19,Croatia
20,Dario Saric,SF,10-Jun,250,27,Phoenix Suns,5,KK Cibona (Croatia),2014 Rnd 1 Pick 12,Croatia
31,Tomas Satoransky,PG,7-Jun,210,30,New Orleans Pelicans,5,Coosur Real Betis (Spain),2012 Rnd 2 Pick 2,Czech Republic
71,Dennis Schroder,PG,3-Jun,172,28,Boston Celtics,8,Basketball Lowen Braunschweig (Germany),2013 Rnd 1 Pick 17,Germany
0,Jayden Scrubb,SG,5-Jun,220,21,Los Angeles Clippers,1,John A. Logan,2020 Rnd 2 Pick 25,United States
11,Wayne Selden,SG,5-Jun,230,27,New York Knicks,3,Kansas,"2016 NBA Draft, Undrafted",United States
28,Alperen Sengun,C,9-Jun,235,19,Houston Rockets,0,Besiktas Icrypex (Turkey),2021 Rnd 1 Pick 16,Turkey
2,Collin Sexton,PG,1-Jun,192,22,Cleveland Cavaliers,3,Alabama,2018 Rnd 1 Pick 8,United States
14,Landry Shamet,PG,4-Jun,190,24,Phoenix Suns,3,Wichita State,2018 Rnd 1 Pick 26,United States
20,Day'Ron Sharpe,PF,9-Jun,264,20,Brooklyn Nets,0,North Carolina,2021 Rnd 1 Pick 29,United States
43,Pascal Siakam,F,9-Jun,230,27,Toronto Raptors,5,New Mexico State,2016 Rnd 1 Pick 27,Cameroon
25,Ben Simmons,PF,10-Jun,240,25,Philadelphia Sixers,5,LSU,2016 Rnd 1 Pick 1,Australia
19,Marko Simonovic,C,11-Jun,220,22,Chicago Bulls,0,KK Mega Bemax (Serbia),2020 Rnd 2 Pick 14,Montenegro
1,Anfernee Simons,SG,3-Jun,181,22,Portland Trail Blazers,3,Edgewater High School (Florida),2018 Rnd 1 Pick 24,United States
45,Jericho Sims,C,10-Jun,240,24,New York Knicks,0,Texas,2021 Rnd 2 Pick 28,United States
15,Ja'Vonte Smart,G,4-Jun,205,22,Milwaukee Bucks,0,LSU,"2021 NBA Draft, Undrafted",United States
36,Marcus Smart,PG,3-Jun,220,27,Boston Celtics,7,Oklahoma State,2014 Rnd 1 Pick 6,United States
0,Chris Smith,SF,9-Jun,215,23,Detroit Pistons,0,UCLA,"2021 NBA Draft, Undrafted",United States
10,Dennis Smith,PG,2-Jun,205,24,Portland Trail Blazers,4,NC State,2017 Rnd 1 Pick 9,United States
10,Ish Smith,PG,1-Jun,180,33,Charlotte Hornets,11,Wake Forest,"2010 NBA Draft, Undrafted",United States
10,Jalen Smith,C,10-Jun,215,21,Phoenix Suns,1,Maryland,2020 Rnd 1 Pick 10,United States
17,Tony Snell,G,6-Jun,213,30,Portland Trail Blazers,8,New Mexico,2013 Rnd 1 Pick 20,United States
11,Jaden Springer,SG,4-Jun,205,19,Philadelphia Sixers,0,Tennessee,2021 Rnd 1 Pick 28,United States
8,Lamar Stevens,SF,8-Jun,225,24,Cleveland Cavaliers,1,Penn State,"2020 NBA Draft, Undrafted",United States
28,Isaiah Stewart II,C,9-Jun,250,20,Detroit Pistons,1,Washington,2020 Rnd 1 Pick 16,United States
31,Max Strus,G,5-Jun,220,25,Miami Heat,2,DePaul,"2019 NBA Draft, Undrafted",United States
4,Jalen Suggs,SG,4-Jun,205,20,Orlando Magic,0,Gonzaga,2021 Rnd 1 Pick 5,United States
8,Jae'sean Tate,F,4-Jun,230,26,Houston Rockets,1,Ohio State,"2018 NBA Draft, Undrafted",United States
0,Jayson Tatum,SF,8-Jun,210,23,Boston Celtics,4,Duke,2017 Rnd 1 Pick 3,United States
41,Garrett Temple,G,5-Jun,195,35,New Orleans Pelicans,11,LSU,"2009 NBA Draft, Undrafted",United States
27,Daniel Theis,C,8-Jun,245,29,Houston Rockets,4,Ratiopharm Ulm (Germany),"2013 NBA Draft, Undrafted",Germany
97,Brodric Thomas,G,5-Jun,185,24,Boston Celtics,1,Truman State,"2020 NBA Draft, Undrafted",United States
24,Cam Thomas,PG,3-Jun,210,20,Brooklyn Nets,0,LSU,2021 Rnd 1 Pick 27,United States
21,Matt Thomas,G,4-Jun,190,27,Chicago Bulls,2,Iowa State,"2017 NBA Draft, Undrafted",United States
11,Klay Thompson,G,6-Jun,215,31,Golden State Warriors,10,Washington State,2011 Rnd 1 Pick 11,United States
13,Tristan Thompson,F,9-Jun,254,30,Sacramento Kings,10,Texas,2011 Rnd 1 Pick 4,Canada
21,Jt Thor,PF,9-Jun,205,19,Charlotte Hornets,0,Auburn,2021 Rnd 2 Pick 7,United States
22,Matisse Thybulle,SF,5-Jun,205,24,Philadelphia Sixers,2,Washington,2019 Rnd 1 Pick 20,United States
